pickup_community_area,dropoff_community_area,trips
14,19,2107
14,24,5370
29,29,2759
29,25,313
41,44,1693
41,71,608
41,35,3672
41,65,94
54,50,3
3,20,943
3,58,234
3,29,429
5,32,35716
46,67,35
33,28,201415
33,24,32727
8,3,316526
8,43,7771
8,35,44560
8,34,56481
8,60,31263
8,4,110122
8,1,70134
8,55,110
7,33,47106
28,28,1394109
28,7,309580
28,76,159235
6,14,30245
28,48,547
28,60,18829
28,77,31942
28,15,5895
28,58,2991
28,44,2005
31,56,2906
31,1,304
31,65,104
22,7,113742
24,4,27569
2,6,8923
2,50,11
2,42,27
66,64,55
66,67,135
63,41,95
63,76,66
30,26,60
64,56,1486
11,3,3512
11,77,2788
11,13,1450
11,2,1400
11,24,916
76,31,6072
76,7,255075
76,23,4167
76,30,1436
76,26,222
55,32,66
39,77,145
50,49,81
36,21,12
36,36,3496
44,46,330
44,29,24
69,28,834
69,46,102
40,37,163
33,14,1058
33,55,18
33,57,256
33,51,149
32,32,5169947
49,69,156
49,33,95
32,61,5997
32,57,2049
32,71,1684
32,72,2248
32,68,2284
32,18,387
7,16,21352
34,31,2259
34,59,593
60,70,31
60,37,45
60,77,105
73,33,83
7,15,5366
7,31,7998
7,63,205
7,67,94
7,36,290
24,76,62455
6,33,50366
61,67,102
61,68,133
61,28,1467
61,71,57
61,34,107
77,1,69417
67,67,2037
1,8,25011
1,15,886
59,61,407
24,2,5647
5,31,1131
5,56,6529
5,17,632
4,16,12395
4,33,1867
58,59,1804
58,61,208
22,70,75
22,61,297
23,3,471
23,29,211
16,58,113
16,44,60
62,65,106
57,58,219
65,16,19
26,20,53
20,22,1985
12,15,391
12,9,91
12,1,189
15,76,5101
56,69,778
56,41,36449
56,65,3061
56,42,4397
56,17,464
56,46,367
56,20,386
10,3,254
17,25,184
17,6,226
14,42,22
14,58,78
29,39,24
41,49,582
3,71,103
47,51,9
72,30,2
63,67,53
30,44,24
30,23,166
48,41,203
42,52,20
42,44,344
39,29,74
39,30,111
36,30,25
36,25,19
69,58,5
38,31,186
35,29,150
35,66,155
35,37,183
35,67,185
33,19,253
49,51,79
49,68,85
49,73,124
37,35,92
53,44,196
60,14,57
60,6,692
60,25,19
73,23,35
7,46,140
6,66,281
6,40,143
6,65,258
4,67,13
4,19,691
58,3,47
58,66,109
58,60,160
58,6,71
58,56,371
27,42,12
70,8,61
70,57,18
23,30,208
62,7,186
57,34,62
26,8,158
20,25,193
12,19,113
,32,65
3,40,96
28,47,61
64,62,24
76,67,195
51,3,24
48,49,69
45,67,20
42,61,431
39,51,67
39,58,44
38,51,28
38,53,29
35,72,30
35,23,77
34,5,310
60,64,50
60,45,3
60,36,42
71,24,45
67,70,66
5,63,20
4,70,16
27,35,61
70,22,12
57,60,87
25,72,1
56,9,132
17,56,96
14,57,70
31,37,68
43,37,49
44,7,41
38,58,35
38,62,17
49,38,39
68,7,17
59,71,5
27,14,30
62,33,129
3,37,61
46,39,79
31,68,47
66,42,32
43,5,19
77,64,31
59,25,15
70,62,27
65,22,11
20,33,48
9,16,39
29,34,31
41,55,41
43,59,39
42,4,24
40,49,63
60,69,24
61,44,34
5,53,4
27,19,48
21,75,6
23,65,12
57,53,21
57,7,44
26,19,47
15,29,32
29,20,22
11,61,21
43,23,49
36,2,15
36,53,7
44,16,36
57,71,6
10,36,2
29,1,60
45,54,5
69,31,28
40,77,12
33,50,63
60,44,25
74,5,3
65,6,38
26,35,15
26,15,18
25,54,2
45,31,5
44,27,16
37,49,51
61,45,16
67,72,10
4,43,53
2,57,21
55,31,3
39,11,19
59,13,21
27,43,20
21,44,15
25,60,20
42,16,19
42,57,18
67,6,24
74,72,19
66,52,5
45,51,37
69,14,6
53,67,11
73,74,3
5,64,37
5,48,6
4,18,29
65,35,29
65,75,4
9,21,14
44,74,2
69,27,9
6,50,31
67,2,8
72,54,2
48,64,1
50,16,2
49,13,2
53,37,5
73,61,11
64,46,4
38,65,20
59,43,13
22,50,9
70,27,7
66,26,11
40,63,31
40,65,7
35,54,5
41,17,35
14,73,5
55,39,3
74,36,1
12,18,8
29,65,13
46,75,13
13,58,5
31,9,7
60,75,10
65,1,5
68,52,2
70,74,2
65,77,9
45,30,8
70,2,7
48,66,14
53,19,2
36,58,9
37,12,2
73,36,11
38,15,7
62,21,10
52,7,5
67,52,2
27,12,3
62,75,7
49,22,6
18,44,2
30,10,3
55,60,1
39,18,3
19,46,3
10,61,4
39,12,4
40,20,2
20,57,5
2,72,3
63,18,3
59,46,5
62,11,6
45,62,2
21,45,3
62,13,3
47,31,1
51,75,4
75,77,6
30,52,6
18,58,3
18,42,1
74,37,1
43,13,5
37,54,1
70,61,5
55,37,1
67,57,4
64,17,2
50,40,6
63,4,1
26,42,4
75,62,6
12,66,2
20,38,5
18,60,1
21,53,1
50,24,4
14,52,3
4,45,1
73,10,2
47,67,2
20,70,2
67,17,1
72,52,1
17,45,1
70,50,2
69,10,1
72,14,1
46,13,1
38,55,1
75,26,2
74,65,1
19,54,1
10,72,1
25,55,1
12,67,1
14,64,19
29,26,147
41,29,687
41,14,120
3,14,20382
3,4,63660
3,24,37493
3,13,4468
3,67,141
3,18,56
5,8,65434
52,56,49
46,22,13
46,69,119
46,38,42
46,56,121
8,32,7178811
8,33,949456
8,14,45605
8,44,1656
8,64,3173
8,9,2886
8,10,11530
7,3,105724
6,28,264521
6,7,838394
6,77,176184
28,27,9092
28,25,6742
28,54,253
28,52,280
31,60,1785
31,66,173
24,5,52404
24,7,260171
2,59,920
2,35,195
2,9,91
63,56,324
30,29,408
30,63,106
56,76,16709
11,12,4756
11,59,31
76,19,5322
43,15,19
45,55,9
42,39,868
42,56,2093
42,6,270
50,50,657
36,32,1370
44,8,512
69,45,145
69,35,277
69,34,206
38,40,516
35,75,63
35,36,851
33,29,1818
32,5,96582
32,13,5230
34,32,20174
34,38,505
68,28,375
68,34,86
68,61,200
7,64,387
6,10,5597
6,72,317
6,37,116
77,11,3098
77,13,6626
77,58,67
77,47,87
1,4,8677
1,7,8177
1,68,29
1,23,419
1,10,397
1,56,2354
1,26,26
59,67,20
59,28,900
5,77,13478
5,3,34371
24,31,24827
24,60,5727
24,27,4247
24,64,255
24,52,45
24,71,188
4,7,17387
5,29,197
5,9,223
4,56,3040
4,42,105
22,10,1325
22,11,1640
16,28,9271
27,22,295
21,28,7968
23,18,48
23,7,901
23,6,1319
16,4,10000
16,24,9441
16,23,1996
16,25,605
16,59,198
13,2,4466
13,23,88
57,35,16
65,57,64
26,32,134
20,6,353
25,76,652
25,56,541
25,23,749
12,12,8305
15,3,959
15,24,1384
15,20,594
56,4,8532
56,43,1857
56,36,834
10,24,717
10,5,199
10,14,270
17,14,121
9,76,491
14,48,16
14,67,15
29,31,249
29,7,191
46,8,240
31,64,75
31,57,104
72,75,55
2,66,21
2,43,48
66,63,110
63,37,4
30,7,103
30,62,71
48,61,27
42,40,322
39,2,83
39,48,268
39,67,273
39,13,29
39,62,22
50,71,5
36,33,943
44,3,72
69,30,16
69,51,52
69,22,13
38,6,135
38,61,233
40,66,42
40,68,180
40,71,84
33,17,149
49,8,131
37,52,5
34,62,42
68,3,173
68,76,77
68,56,175
61,27,470
67,76,33
75,73,43
59,16,82
5,35,179
4,53,6
4,60,226
22,39,450
22,73,28
70,67,67
23,60,72
16,39,52
16,67,12
65,58,87
26,43,14
20,23,593
25,63,17
15,59,97
15,23,385
10,41,30
10,12,390
17,22,202
,24,8
41,73,201
54,48,4
3,66,79
3,63,57
66,60,95
63,7,24
30,43,53
30,70,36
51,47,7
43,45,212
45,28,143
45,33,74
45,7,44
39,14,117
69,3,79
35,63,35
7,49,78
6,46,143
75,41,20
75,24,16
58,16,47
22,65,65
27,69,16
27,59,82
21,49,17
23,43,39
23,42,14
16,75,8
57,21,17
26,40,14
25,3,410
19,5,231
9,17,61
54,35,5
42,22,100
69,5,17
35,57,56
37,42,32
34,63,107
34,57,61
60,2,54
6,73,100
77,68,62
70,72,57
70,64,55
62,44,11
52,48,11
55,49,5
43,62,29
42,64,12
69,75,38
34,46,48
71,67,113
61,2,17
5,43,29
4,71,16
62,61,32
65,30,109
15,41,54
14,60,129
14,65,20
30,45,5
64,31,31
64,72,12
36,72,8
71,38,59
67,3,54
58,73,6
58,21,20
16,63,42
10,64,4
17,2,57
41,20,15
46,70,19
47,45,17
51,33,40
48,58,1
35,4,82
53,49,119
59,57,48
59,26,9
59,19,19
5,46,21
4,36,23
23,66,33
15,45,5
17,49,4
66,40,37
40,11,3
53,54,10
21,65,26
72,42,7
66,29,33
43,52,24
40,7,44
71,25,19
75,51,7
24,53,38
9,4,28
41,52,67
46,5,4
27,38,18
20,12,23
48,60,3
42,17,3
38,23,34
67,64,7
5,37,11
70,45,9
49,52,11
15,63,19
19,68,24
18,12,12
72,37,8
66,51,10
68,72,12
29,75,16
47,50,6
47,59,1
36,66,17
40,57,10
75,6,9
13,43,8
29,53,7
55,44,10
6,47,9
27,46,9
71,27,5
10,35,15
63,38,15
21,70,10
60,20,14
1,45,5
58,75,4
48,5,2
49,45,28
67,77,5
58,17,6
16,48,8
63,55,1
50,70,1
35,74,5
73,64,6
71,61,40
48,2,11
53,59,1
61,26,4
59,44,9
4,51,8
62,72,7
2,37,7
66,45,6
37,26,5
70,26,2
14,70,10
30,17,12
24,55,11
27,57,9
23,68,12
21,67,11
36,59,15
40,64,4
5,50,4
47,26,1
27,10,6
48,15,2
67,59,8
19,49,5
71,22,11
61,4,4
58,36,4
26,49,21
70,51,2
12,64,2
75,1,2
65,14,3
65,39,5
52,60,1
44,63,9
50,26,1
50,64,1
55,7,2
44,14,6
67,47,2
64,44,2
64,71,4
33,54,13
47,39,4
72,63,4
60,53,4
64,18,1
73,54,4
5,55,1
69,12,2
11,52,1
26,36,1
67,21,2
25,51,8
71,57,3
74,44,2
10,38,6
17,74,1
54,46,3
52,58,1
40,15,2
59,17,4
10,51,2
54,38,1
39,55,3
29,72,4
68,55,2
37,5,1
11,49,3
18,70,1
19,57,11
61,75,5
26,10,2
51,72,5
17,70,2
10,67,1
47,34,1
55,23,1
23,75,4
5,74,4
73,1,1
12,51,1
17,58,3
1,47,1
,41,2
45,14,2
62,53,3
53,27,1
73,60,1
,2,1
64,37,1
55,68,1
14,3,11224
14,17,795
14,33,956
29,8,873
41,8,68002
41,67,659
41,46,1407
41,13,75
41,21,250
3,8,185113
3,28,44718
3,16,24016
3,41,2168
3,59,380
3,27,375
46,32,285
8,23,22966
8,45,634
8,18,853
8,51,595
8,48,758
28,37,1125
28,57,1220
31,2,138
22,22,228735
72,74,46
4,8,31547
4,4,100298
2,32,7358
2,24,2452
66,32,142
63,58,101
63,28,311
30,27,127
30,31,416
11,7,690
11,28,985
76,4,52146
76,34,4415
76,62,397
76,60,4361
76,73,211
55,41,21
48,44,146
43,8,1960
45,8,257
42,42,6995
42,45,155
42,32,3040
39,43,1539
39,19,18
39,46,344
39,49,448
36,51,12
36,24,129
44,48,229
44,77,31
69,24,99
69,48,145
38,38,8531
38,41,1822
40,56,324
35,26,31
35,71,261
33,46,566
33,61,1047
33,73,119
33,70,217
33,36,2327
32,29,11278
49,49,11957
32,36,5628
32,46,2802
32,19,4110
32,74,224
32,52,415
37,27,5
34,8,21444
34,76,1547
34,40,177
34,6,1956
34,30,427
60,56,2318
60,32,3184
7,25,1986
6,11,5226
6,19,5490
6,69,237
61,43,66
61,16,36
77,22,10728
77,19,429
67,28,430
1,3,25228
1,21,1161
1,31,332
59,32,685
59,8,711
59,5,49
59,22,65
24,44,189
24,59,1892
24,49,116
24,36,263
4,2,28753
58,31,223
22,23,14729
22,3,21020
22,77,10385
22,33,8577
22,34,877
22,27,1506
27,29,273
70,70,2786
21,16,12891
21,33,1188
16,32,10439
23,31,445
23,13,105
16,21,10925
16,7,8670
16,14,17408
13,16,1289
13,28,703
13,59,44
13,7,473
62,62,1035
26,28,647
26,25,755
25,57,7
12,77,426
12,32,311
15,19,2105
15,5,1010
15,25,392
19,4,215
19,12,70
56,70,3684
56,35,5223
56,53,256
56,62,1526
56,11,489
56,73,722
18,18,993
10,10,26142
10,11,1514
10,8,1481
10,7,328
17,11,151
46,47,31
72,8,59
72,56,460
2,18,28
30,60,112
64,65,67
51,45,22
48,45,171
42,63,28
42,53,58
39,72,38
39,63,44
69,11,4
69,50,41
38,43,431
38,68,343
38,73,70
35,49,151
33,65,215
37,34,166
68,8,406
68,33,259
60,58,264
60,27,29
73,37,40
61,29,243
77,42,236
24,73,95
4,69,28
4,37,16
22,62,60
27,60,13
74,74,198
23,41,57
23,56,326
13,34,27
57,76,213
57,32,326
57,23,31
26,14,15
20,21,814
12,23,38
56,10,931
18,30,14
18,24,76
18,4,20
10,18,106
29,11,5
29,48,50
3,73,40
66,12,4
30,4,25
64,66,63
76,68,246
43,65,38
44,25,27
61,53,12
61,58,165
77,49,92
67,48,25
4,57,18
58,1,28
23,59,22
16,37,8
62,76,80
15,39,19
10,31,28
9,8,103
,6,12
46,6,26
8,54,53
66,31,61
66,71,73
48,40,16
42,51,64
40,27,18
49,53,151
71,73,70
77,26,68
27,30,110
62,51,1
25,46,22
64,24,51
43,25,50
50,41,17
40,73,43
67,42,100
67,37,41
70,38,26
65,60,14
25,69,47
9,15,50
43,4,38
37,31,13
53,22,4
67,40,61
5,38,42
23,17,112
65,69,8
9,33,6
29,73,14
46,25,8
72,68,10
66,39,23
69,23,16
49,39,56
60,67,63
61,40,49
67,24,37
1,51,9
62,69,8
15,58,25
10,34,12
9,5,18
29,61,54
51,68,23
48,36,16
43,54,9
50,61,4
1,74,7
27,66,22
2,63,21
50,47,10
36,67,25
40,31,28
59,29,36
27,18,10
57,10,9
26,65,2
25,9,25
31,46,53
66,23,42
38,17,4
70,42,17
48,6,13
39,52,19
44,1,32
53,62,2
75,2,3
75,37,13
58,15,20
19,33,62
64,25,16
44,58,7
13,38,5
29,19,55
47,42,31
31,72,32
66,7,22
11,71,4
59,45,2
74,76,17
62,40,7
17,40,1
47,70,1
64,35,5
75,46,6
75,69,21
19,29,51
72,43,11
30,48,6
64,16,6
71,63,11
17,64,3
47,23,2
63,34,30
69,4,8
58,40,5
52,31,3
64,2,12
40,58,9
60,51,11
27,39,28
3,48,32
52,1,3
44,19,4
57,17,1
54,41,4
68,45,26
29,12,6
60,48,4
10,29,5
46,60,4
64,29,11
69,16,7
40,51,11
71,19,5
1,65,8
70,14,2
74,16,2
54,19,1
37,57,5
13,46,3
17,26,5
14,47,1
72,65,8
60,50,2
3,55,2
66,48,14
12,43,4
17,43,2
64,73,6
69,26,7
21,72,3
57,46,6
62,50,1
35,20,6
18,61,4
21,46,6
74,73,2
47,24,1
63,49,3
38,54,16
71,52,2
45,52,5
7,54,4
40,55,1
64,11,3
51,12,2
37,47,3
75,63,2
41,18,3
53,6,7
49,27,3
15,71,1
72,36,2
67,19,5
15,67,2
73,29,7
48,57,2
57,18,2
31,47,1
61,11,5
74,69,4
62,46,3
15,75,4
55,52,2
20,62,3
69,13,2
15,48,1
51,21,1
61,9,1
54,40,1
58,69,2
52,19,1
50,57,2
52,75,3
67,12,1
63,10,1
50,58,1
51,14,1
14,13,7058
14,25,533
14,12,1409
41,28,24727
41,38,4798
41,43,5693
41,22,1254
41,34,2283
41,16,245
3,7,84149
3,31,2102
3,34,713
3,36,212
5,33,3828
5,5,84667
46,33,239
47,32,62
33,33,266876
33,76,104078
33,16,2049
8,8,11595972
8,28,3196077
8,17,4022
8,56,404117
8,37,978
8,46,1495
7,32,549521
7,8,1409539
7,7,1183874
77,77,277895
28,35,21966
28,10,3183
28,38,5637
28,17,1290
31,24,7064
31,19,148
24,14,11784
21,24,13487
2,3,12978
2,14,5492
2,12,1331
2,23,456
2,36,40
63,63,1447
30,56,1339
30,28,1327
30,49,32
30,65,97
11,76,9474
11,20,222
11,25,1081
76,36,822
76,69,468
76,18,1826
76,75,458
51,51,1709
48,8,132
43,46,609
43,44,604
43,35,701
45,45,1285
42,46,333
39,42,1919
39,22,277
39,37,442
50,33,23
36,38,535
36,42,168
44,73,226
40,40,2818
35,39,1090
35,68,297
33,77,4546
33,10,526
33,42,2028
33,69,932
33,45,212
32,31,65171
32,2,20459
32,9,1536
32,63,1250
34,41,1550
34,22,847
34,26,47
34,14,94
34,3,505
53,53,874
60,28,4706
60,31,1400
73,34,79
7,20,3425
7,30,1019
7,66,127
77,28,25695
24,11,2690
6,39,2313
6,34,3176
6,42,892
71,45,29
61,24,135
24,77,20800
1,29,102
59,59,70888
59,31,456
24,17,1212
24,58,1296
24,72,262
4,59,135
4,9,272
58,33,183
22,30,1143
22,58,471
27,20,62
27,8,934
27,7,126
21,5,10408
21,11,823
21,18,227
23,21,1037
23,28,2439
23,32,1224
13,8,1268
13,1,1113
65,38,12
20,14,295
20,76,470
25,17,167
25,43,43
25,6,454
12,76,2986
15,7,894
15,6,2043
19,19,7776
19,18,289
19,14,616
56,63,1061
56,77,12709
56,59,1469
56,23,1465
56,47,45
18,25,440
18,56,74
10,33,120
9,6,64
9,11,114
29,76,232
41,51,222
41,70,250
3,70,58
46,41,727
46,48,149
46,42,233
31,63,227
31,23,398
66,8,167
63,43,17
30,14,73
11,33,171
51,46,95
48,28,147
45,38,31
45,56,136
42,36,145
42,12,3
69,76,77
69,25,41
38,47,35
38,18,1
37,45,7
37,40,69
68,71,152
60,73,32
73,35,187
71,32,147
61,59,532
67,7,17
75,72,59
75,71,43
1,69,36
4,39,85
58,57,101
70,32,266
70,73,10
70,23,10
21,58,101
23,4,288
62,32,616
65,67,22
20,13,61
25,30,127
12,6,382
12,16,586
12,17,53
19,1,99
17,3,57
17,4,72
17,20,55
47,49,27
2,45,10
63,30,128
64,58,32
11,57,10
55,73,1
48,76,42
43,36,157
42,31,90
42,5,37
39,26,13
50,44,53
44,30,21
35,47,32
37,41,157
73,75,40
61,33,215
75,7,9
75,56,160
58,35,28
26,45,3
20,55,1
25,33,66
15,65,14
29,68,29
41,53,113
72,40,4
55,33,16
51,34,17
42,62,15
35,19,22
49,31,19
49,10,2
60,72,18
60,1,65
23,48,12
23,61,32
62,66,56
65,2,4
65,63,56
12,33,43
9,24,32
29,67,47
46,49,78
63,65,71
55,35,6
43,29,57
43,75,36
42,14,8
44,6,55
60,43,43
73,3,22
73,66,12
73,44,134
1,70,41
4,64,24
65,7,16
26,57,2
26,12,2
25,62,5
14,66,16
47,43,57
66,1,21
64,33,56
64,7,37
11,60,78
49,23,8
61,19,18
75,32,42
1,58,41
59,18,4
70,75,11
13,25,35
9,1,28
72,22,8
63,62,116
51,54,12
43,66,86
42,75,29
38,5,22
49,29,15
34,73,33
6,55,26
67,39,76
22,52,15
62,71,13
57,4,13
26,7,28
29,59,40
63,20,16
11,34,22
53,76,20
53,42,13
73,24,22
77,66,26
77,62,21
52,28,72
64,19,7
48,29,34
43,58,9
38,20,7
75,39,8
4,65,16
17,77,49
66,37,18
64,49,2
50,1,2
18,21,39
46,57,1
47,71,6
47,77,1
34,51,25
61,77,22
74,77,2
16,70,8
62,31,38
57,69,6
25,67,24
12,61,3
44,15,4
73,6,14
18,2,11
10,39,10
64,59,13
68,62,21
74,45,1
46,4,9
50,30,2
40,50,15
49,47,22
75,64,5
70,31,12
70,58,26
66,19,13
75,5,2
46,53,14
27,17,2
62,20,5
26,67,8
55,22,2
16,42,33
51,50,55
53,23,1
3,74,30
68,29,26
64,34,9
42,74,1
22,44,57
71,6,17
25,48,6
66,50,4
54,56,2
47,60,1
66,2,12
64,50,2
44,59,9
37,29,17
16,66,28
54,8,6
59,36,20
11,69,7
25,36,14
27,37,5
13,27,12
74,71,4
68,10,3
58,71,8
20,65,3
57,11,2
20,67,2
25,53,8
17,63,1
53,30,6
67,58,8
23,46,10
51,59,5
53,70,3
43,72,26
15,40,4
72,1,9
64,39,11
44,2,11
12,69,2
67,4,6
73,58,2
27,13,4
26,39,2
20,49,3
11,44,3
50,66,3
48,1,2
53,14,3
74,70,5
47,33,6
55,34,11
1,48,9
57,12,1
19,70,5
50,38,5
13,72,2
5,54,2
74,22,1
15,70,4
46,59,11
60,74,10
17,55,1
59,49,4
57,13,3
13,71,4
14,50,2
5,47,1
44,57,3
62,47,1
50,65,1
48,65,1
51,60,2
75,55,2
50,21,1
52,64,1
52,73,1
60,47,1
27,54,2
70,47,1
17,38,1
63,52,1
54,27,1
14,8,17359
14,6,9669
14,76,8631
29,30,347
29,41,80
41,32,66349
41,15,88
41,4,372
41,1,454
3,6,314318
3,1,41575
3,2,22064
3,22,24352
3,23,1713
3,47,90
5,6,126129
21,21,81136
47,68,12
8,29,7832
8,15,21465
8,66,1375
8,11,9782
8,71,1226
6,56,52423
6,4,110674
6,12,3257
28,51,386
31,61,704
31,70,76
31,25,154
22,8,146334
77,6,114834
24,24,838523
2,77,29593
2,13,6652
2,8,11866
66,33,96
30,30,4614
30,16,208
56,33,56890
64,8,262
11,17,1884
76,20,1678
76,12,15308
76,41,32748
76,65,589
55,28,18
48,46,146
43,39,577
45,29,21
45,44,207
42,28,1889
42,54,9
39,36,968
39,33,5288
39,7,1102
50,46,54
36,56,337
36,43,230
44,50,103
38,56,924
38,74,1
40,32,412
35,38,2081
35,2,126
35,31,459
33,31,10849
33,59,1423
33,40,1063
33,12,221
33,75,173
33,63,211
33,64,395
32,76,855478
32,69,3583
32,23,10625
32,64,2673
32,62,1178
32,48,1270
37,61,159
34,49,78
34,4,197
34,72,91
68,43,122
68,37,140
60,59,514
73,32,75
7,19,4201
6,23,7577
6,13,5866
6,44,213
6,61,835
71,69,175
77,21,3070
77,10,773
77,33,4389
77,67,76
77,25,368
77,12,2036
77,48,37
1,76,13054
1,59,74
1,12,613
1,39,127
59,77,140
24,40,150
24,13,1707
24,30,3356
24,26,775
24,68,274
24,74,76
4,77,30255
5,13,1280
5,14,8267
5,20,526
5,52,12
22,59,520
22,26,179
27,44,9
21,23,2917
21,19,4243
21,41,302
16,19,2949
16,1,2621
16,18,225
13,11,603
13,21,479
57,64,31
65,70,80
12,13,748
19,8,1055
19,13,99
19,76,1296
