pickup_community_area,dropoff_community_area,trips
56,60,4339
56,67,682
18,28,121
29,49,37
29,27,306
41,62,155
31,13,55
66,41,62
30,6,126
76,51,178
55,76,11
51,8,106
51,37,10
43,61,64
42,66,70
42,60,50
42,67,160
42,19,7
39,31,355
39,5,79
50,34,12
36,69,79
69,37,124
38,36,445
38,71,178
40,39,383
35,42,570
35,73,43
60,42,43
60,35,616
7,68,174
7,62,119
6,70,168
71,66,61
71,68,129
61,39,84
61,70,46
77,30,260
77,37,40
67,56,150
1,30,116
22,9,277
27,31,83
21,27,296
23,11,80
16,46,25
62,24,122
65,76,104
26,3,109
26,22,37
20,18,38
20,17,69
25,29,252
15,31,103
19,59,44
56,26,250
18,19,252
3,26,127
52,52,215
72,76,117
2,53,13
66,73,24
64,61,19
43,19,14
34,12,21
59,52,1
59,1,51
58,34,86
65,64,150
26,21,18
20,29,90
29,57,25
41,19,32
52,2,5
72,24,16
66,69,52
63,16,20
43,14,15
45,46,100
44,72,43
44,51,110
37,2,12
34,27,70
68,73,35
59,39,53
58,10,5
16,71,17
19,34,17
2,61,38
66,5,5
76,54,16
45,70,18
40,23,7
61,72,14
1,43,156
1,71,20
22,40,51
22,71,52
62,39,25
3,62,35
76,47,28
69,29,26
71,30,14
59,14,21
23,57,23
12,35,3
19,61,28
17,31,7
9,56,11
46,61,24
72,28,76
64,70,30
11,58,7
43,77,57
38,21,15
60,29,67
60,23,75
58,64,33
13,60,21
18,1,9
,28,24
31,48,18
31,40,28
72,48,6
72,16,5
66,36,11
44,54,19
71,37,34
75,22,5
59,63,88
17,12,45
41,9,11
54,51,15
52,46,31
49,5,12
5,68,37
57,24,75
19,9,20
36,70,12
37,25,15
23,73,25
15,46,2
31,55,1
72,71,20
2,73,10
63,73,4
71,65,33
13,18,10
26,71,11
14,72,7
14,40,4
43,10,17
44,23,12
69,65,21
20,66,10
29,18,6
55,56,14
70,24,14
1,57,11
23,34,39
25,13,24
63,33,48
11,65,5
50,2,4
71,7,18
71,62,5
51,77,8
45,75,13
43,60,36
4,68,17
11,38,6
51,4,2
53,25,8
14,71,10
60,13,6
73,46,14
70,53,5
26,47,2
29,10,4
48,50,24
29,50,3
14,69,13
77,53,7
72,64,8
5,71,12
47,66,1
72,51,7
69,57,4
51,70,2
39,20,12
44,18,1
65,23,11
50,39,6
38,10,4
48,75,8
73,30,8
65,37,4
53,24,15
1,52,6
55,24,6
38,19,7
54,49,7
75,23,2
22,45,6
65,52,1
18,66,2
11,64,7
59,47,2
72,7,7
73,25,6
72,59,1
12,26,5
10,44,2
70,13,1
60,18,4
10,43,8
49,19,3
37,1,9
68,5,3
68,4,7
52,36,1
58,68,5
65,45,3
52,50,1
73,62,5
15,47,1
72,53,4
16,74,4
61,13,2
75,27,2
58,74,8
18,26,2
45,60,3
53,66,4
54,42,3
18,41,5
18,63,2
45,23,1
17,68,3
12,60,8
40,74,1
70,48,3
26,51,1
53,5,1
10,45,1
57,44,3
20,51,1
75,21,1
15,37,2
72,58,2
12,62,1
75,18,1
14,4,13188
14,2,7501
14,77,5290
14,22,5256
14,61,51
14,38,24
41,42,7595
41,2,267
41,36,1014
41,30,321
3,32,118587
3,21,7380
3,11,3386
46,35,100
47,44,84
33,4,2779
8,6,1662329
8,7,2072782
8,16,66755
8,39,25084
8,20,5300
8,70,761
7,1,21553
6,1,63661
6,17,3370
28,30,7200
28,66,1473
28,65,813
28,63,1514
31,59,854
31,28,13179
31,16,422
31,44,51
31,14,211
22,24,190492
24,6,254594
24,21,34110
5,22,31838
21,8,18956
2,10,666
66,58,69
66,70,98
30,37,20
30,22,187
56,7,78668
56,8,427211
64,64,4928
11,10,10059
11,21,1011
76,16,30733
76,2,30926
76,74,293
76,38,1981
76,40,317
76,35,8174
51,36,3
43,32,2581
43,43,10626
43,38,503
43,7,119
42,48,210
39,41,14090
39,32,18224
44,40,185
44,28,781
44,37,86
44,24,55
69,49,183
69,73,229
35,33,11140
35,28,9710
35,46,147
33,60,6456
33,39,6615
33,15,748
33,44,1004
32,59,7259
32,77,94346
32,10,6881
32,70,1376
32,16,40234
34,21,218
34,11,41
68,68,2938
60,46,15
60,24,1035
7,11,2515
7,10,2823
7,41,7192
7,71,114
7,27,919
6,59,1083
71,16,20
71,71,2272
61,35,94
77,24,15573
77,35,448
67,32,107
1,28,7402
1,25,191
1,46,28
59,60,512
22,6,116414
24,16,20986
24,23,35027
24,38,710
24,18,425
22,21,33507
4,26,24
22,25,1416
70,65,108
21,2,1604
21,12,319
23,20,601
23,8,3240
16,16,125796
16,33,1163
16,76,16749
16,77,4773
13,14,2511
13,33,108
20,16,701
25,14,98
25,24,622
25,64,16
12,11,889
12,22,153
12,2,831
15,4,1296
15,21,1718
15,22,2115
19,25,1058
19,32,492
56,13,734
56,1,6102
56,30,2321
56,27,694
18,14,34
17,29,16
17,16,303
14,56,854
29,69,24
46,66,29
30,76,254
30,38,39
30,53,16
64,32,238
55,51,50
51,35,18
42,70,44
36,76,292
69,39,135
38,29,74
40,35,230
33,66,357
33,53,55
33,26,195
32,47,124
34,43,122
34,13,43
73,41,63
73,8,278
61,17,4
67,45,11
59,3,97
59,56,516
58,30,307
70,34,143
21,42,32
74,61,3
13,31,25
26,11,14
26,33,14
12,28,339
56,45,326
17,30,19
17,5,87
,8,101
29,38,53
41,10,53
3,45,59
46,52,43
72,61,16
2,20,200
51,53,35
51,61,9
43,51,133
45,48,88
39,66,103
44,22,14
38,45,52
6,68,188
61,22,45
61,62,61
61,65,43
61,56,470
77,63,42
5,61,45
27,21,50
21,36,15
16,49,17
62,58,114
65,74,4
20,31,76
15,35,22
19,71,4
19,77,145
17,21,228
,22,5
46,76,67
11,29,29
51,31,5
39,23,49
36,22,30
44,21,4
37,30,11
53,3,11
71,34,52
77,65,22
59,4,42
27,68,20
21,64,18
13,42,24
13,9,29
57,67,5
56,55,87
14,36,5
29,71,50
29,77,55
66,27,18
66,25,22
64,67,11
36,61,62
40,24,51
40,25,14
67,46,17
67,49,79
59,15,94
27,5,124
21,37,12
23,62,5
62,67,18
18,10,90
3,53,10
72,34,20
2,34,109
30,77,49
36,71,42
77,46,55
67,33,91
75,50,7
65,68,29
25,4,81
19,27,81
29,46,33
48,14,1
48,71,29
48,74,1
45,16,4
36,37,45
1,73,8
27,73,4
70,10,2
13,20,76
57,68,6
65,73,5
2,46,14
66,14,5
63,71,8
55,46,23
45,37,9
37,50,8
20,39,5
50,42,24
69,59,14
35,17,5
77,57,28
59,64,21
5,44,27
23,49,15
62,23,8
54,53,16
52,57,1
66,6,20
30,50,6
48,55,9
37,21,5
70,43,10
45,47,20
9,7,27
30,72,3
49,61,19
49,1,6
59,74,1
19,42,4
47,53,13
75,42,9
59,40,9
52,47,8
68,6,26
4,75,9
15,57,4
73,7,20
12,27,7
17,9,25
63,3,16
45,61,8
69,52,6
57,73,1
12,31,9
15,64,12
52,77,1
64,1,4
61,15,14
57,26,5
51,55,13
38,11,11
49,26,3
4,38,40
55,6,6
40,26,8
49,6,22
60,26,7
16,45,3
42,25,29
50,63,3
2,48,8
64,14,4
54,33,7
68,60,22
26,53,3
69,77,15
58,48,2
64,27,4
44,11,2
23,71,15
63,53,2
46,27,3
47,25,3
51,26,2
40,12,1
20,34,9
70,19,2
23,37,5
20,69,5
18,55,1
65,29,7
54,24,5
70,40,11
64,23,4
36,63,3
57,43,6
15,54,1
15,69,6
43,20,6
58,20,11
39,74,3
,77,1
37,19,3
37,4,4
21,74,4
37,14,6
49,21,3
5,73,4
52,49,7
25,50,4
72,50,2
9,23,6
45,12,1
13,64,1
20,71,1
4,50,7
35,9,1
51,11,1
45,22,2
58,72,3
19,38,1
55,2,1
36,74,3
27,51,1
58,26,7
51,2,3
50,72,1
55,75,3
52,65,1
34,54,3
50,4,1
43,55,2
44,13,1
67,11,1
17,42,1
73,15,2
10,40,1
11,48,1
18,65,1
72,11,1
63,48,1
14,14,46969
14,16,16556
14,39,160
29,24,604
41,7,4449
41,31,1081
41,61,752
3,35,1158
3,42,438
3,30,513
3,61,155
5,7,48389
33,56,58759
33,34,22772
8,22,368175
8,21,69433
8,31,61546
8,57,2284
7,28,266050
6,76,159967
28,32,2264523
28,24,404642
28,49,1646
28,71,1974
28,40,1703
28,12,2303
28,53,462
31,26,30
31,33,3833
31,58,552
24,28,311284
2,2,169484
2,1,28110
2,15,935
2,40,19
66,66,2276
66,17,1
30,21,112
56,32,279571
64,3,17
11,15,13393
11,56,188
76,21,16387
76,14,18851
76,56,18067
76,32,940188
76,50,100
76,39,10276
76,11,12237
76,57,582
76,44,521
43,48,483
43,34,80
45,43,254
42,41,3447
39,35,2391
39,69,546
39,6,975
39,75,34
39,34,903
44,47,134
44,33,626
44,68,267
44,76,146
69,68,394
69,32,482
38,35,1826
38,76,599
38,44,337
35,34,2254
35,3,583
35,24,930
33,2,1607
33,58,512
33,21,2030
32,39,33382
49,67,39
49,42,77
32,42,11499
32,58,3585
7,5,77115
34,33,9854
34,36,221
68,38,91
60,8,3616
7,61,612
7,51,39
7,38,581
77,16,5998
6,71,149
6,29,1261
6,63,292
61,8,542
77,15,1408
77,41,984
77,59,361
77,60,290
75,28,120
1,16,2305
1,35,233
1,17,112
59,76,293
24,15,7287
24,41,5724
24,69,257
24,35,2639
24,61,1168
5,27,254
4,22,14333
4,76,19050
4,25,399
4,44,23
58,32,347
22,42,200
27,26,302
21,13,1354
21,14,5958
21,1,1184
21,30,272
23,19,971
16,5,20208
16,13,3162
13,5,425
13,30,18
62,28,312
26,26,1496
25,25,13545
15,17,1508
15,32,1198
15,8,3030
19,15,1470
19,23,731
19,2,243
19,17,630
56,15,1402
56,29,1246
56,14,2082
18,15,134
10,16,857
10,15,848
10,4,236
17,15,716
17,17,7315
17,10,368
17,76,1959
14,29,130
14,31,376
14,74,6
3,68,170
3,57,92
47,46,48
47,56,19
8,74,377
72,33,44
63,8,215
51,71,13
43,68,242
42,3,181
42,7,234
39,3,379
39,27,56
36,46,65
36,39,390
36,44,96
36,34,207
38,28,2229
38,30,60
38,75,23
49,41,102
49,28,345
68,25,203
73,42,29
71,39,33
61,37,120
77,39,241
77,50,16
67,71,139
59,30,126
2,41,189
4,34,134
58,62,92
70,66,79
16,30,383
16,57,62
13,17,78
62,64,63
57,42,12
57,27,11
65,66,97
65,24,24
26,31,19
20,32,371
12,3,322
15,18,216
19,30,138
9,12,42
29,42,23
46,31,50
63,23,31
76,53,137
48,51,87
39,45,314
36,40,102
40,67,88
35,5,138
49,66,19
34,15,104
7,57,166
67,36,13
75,3,13
59,62,26
24,47,19
24,48,50
5,25,216
5,18,77
22,36,76
27,77,54
62,29,20
62,4,23
65,33,39
65,62,128
10,25,59
14,27,93
2,38,47
66,65,102
63,72,3
30,3,78
30,2,96
55,43,12
36,31,56
36,49,37
44,5,16
69,61,47
38,64,4
34,18,8
68,24,45
60,55,3
60,10,17
71,36,19
77,69,82
67,60,16
59,35,72
5,39,108
58,25,17
70,7,7
62,74,10
25,1,30
12,41,14
3,49,96
30,59,129
40,48,30
67,50,10
67,23,13
70,21,6
57,41,46
57,19,8
17,33,24
29,4,42
52,34,3
2,64,6
2,68,37
48,68,24
48,21,9
23,53,3
62,3,40
51,24,12
45,24,18
44,75,60
6,67,102
58,65,96
18,7,38
41,74,13
47,41,44
48,47,18
50,53,24
53,50,12
77,74,6
67,29,51
1,66,23
16,64,19
62,27,15
65,31,46
66,20,3
43,30,44
68,63,25
61,50,9
70,68,37
16,47,4
26,16,46
19,62,10
66,53,8
53,55,2
5,66,19
58,67,13
21,68,11
26,37,3
20,68,5
9,18,5
61,73,12
17,65,2
51,66,6
53,34,12
62,15,6
57,15,12
20,60,14
11,43,4
69,17,5
62,52,4
45,40,34
21,48,3
37,73,24
18,3,9
64,77,10
55,53,5
71,1,8
67,65,16
17,60,11
,16,4
30,51,11
34,47,3
53,47,7
67,16,4
74,28,13
16,68,23
22,48,22
47,69,15
31,74,3
36,26,5
40,45,25
16,40,14
51,7,9
74,7,3
44,64,7
75,14,6
51,6,9
45,36,15
46,54,3
42,26,4
25,59,12
2,65,16
69,55,6
11,54,2
20,43,3
43,12,9
29,13,13
13,44,1
46,21,3
11,67,3
10,57,3
14,45,3
70,39,12
47,75,1
68,21,5
75,30,3
50,60,1
57,1,13
57,72,1
69,1,10
36,50,1
37,64,2
21,54,2
72,18,1
70,1,6
46,26,2
54,69,2
12,58,2
75,61,1
9,25,1
72,4,2
51,65,3
49,58,2
37,10,1
15,51,1
62,2,5
26,70,1
15,74,1
52,27,1
67,15,2
1,75,5
12,29,5
26,63,2
40,54,1
2,51,1
30,47,1
50,23,1
53,21,2
72,25,2
75,19,1
10,37,1
43,17,1
4,54,1
65,46,1
72,55,1
51,16,1
45,19,2
10,52,1
50,7,1
73,52,2
45,21,2
45,2,1
53,16,1
60,54,1
26,17,2
75,54,2
14,7,4438
14,28,5624
29,6,236
76,76,590584
41,39,12119
41,69,2054
54,28,45
6,6,1855487
6,24,288599
3,39,526
3,65,81
8,63,1745
8,2,37972
8,12,6779
8,62,1298
8,36,3925
8,52,238
8,40,1994
8,49,1219
8,26,1921
28,56,68726
6,22,191696
28,5,40895
28,29,8591
28,43,4277
28,70,779
28,42,4303
28,68,2186
28,46,1230
28,64,963
31,34,1078
31,42,139
22,76,27324
77,76,35950
72,32,51
5,24,36443
2,16,3095
2,22,2012
2,31,117
2,60,51
30,35,55
30,5,24
56,5,15309
11,11,36936
11,16,3462
11,8,2151
11,9,1263
11,27,31
11,6,1458
76,15,17188
76,17,9920
48,32,215
43,28,2476
43,42,1348
43,41,2138
45,32,267
42,35,609
39,40,1079
39,38,3010
39,60,230
44,41,613
44,39,196
69,69,4852
69,38,267
69,70,73
38,48,158
40,28,516
40,19,3
40,36,63
40,42,350
40,41,1122
33,62,340
33,43,2561
32,6,778179
32,15,11574
32,34,63159
32,22,181869
49,43,87
49,56,151
49,14,4
49,75,66
32,1,34671
32,27,10111
32,45,1096
32,25,6689
32,43,11778
32,40,2555
32,50,381
32,17,2068
32,37,1381
37,38,234
37,32,161
37,71,68
60,4,104
73,69,62
7,34,3007
7,9,865
7,13,1983
7,43,470
7,26,312
77,7,33617
6,41,8489
6,43,1139
6,57,386
6,27,1270
6,62,236
71,33,234
71,58,10
71,40,48
71,56,282
77,3,122363
61,76,288
77,31,936
77,27,207
67,34,38
67,62,17
59,34,224
59,2,175
24,46,255
24,25,3865
24,43,579
24,9,562
24,57,459
5,15,3662
5,41,468
4,32,16991
22,60,1404
22,18,428
27,28,1895
27,27,4959
21,10,588
23,23,8209
16,56,1464
16,10,1396
13,4,2895
13,6,1208
13,76,3845
13,12,1308
57,31,71
65,56,617
26,27,176
20,20,2506
20,1,56
25,28,1305
25,22,361
12,10,468
15,56,400
15,14,2088
19,56,251
56,64,5548
56,61,1370
56,22,20958
56,57,3314
56,48,357
56,49,595
10,17,578
10,58,6
29,58,91
41,12,21
8,47,121
63,32,104
63,57,42
30,61,139
76,37,148
51,67,190
43,50,91
43,73,104
43,67,141
45,39,127
42,29,25
42,34,169
42,68,781
42,65,20
39,44,561
39,16,62
50,68,7
36,29,17
38,2,30
38,22,59
35,48,128
35,27,134
37,67,68
37,56,113
34,74,32
34,19,228
68,39,52
68,44,178
68,65,23
73,56,152
61,6,95
67,41,108
67,68,240
75,8,55
21,57,14
74,32,21
23,63,45
16,38,39
13,56,211
62,19,13
26,6,23
20,3,448
12,7,205
15,13,312
15,9,112
19,60,31
18,33,13
18,22,75
14,63,22
14,18,112
29,35,51
29,33,191
46,51,76
11,41,47
76,48,279
36,60,71
38,25,48
40,6,39
35,53,48
53,69,42
68,48,19
73,72,37
73,13,4
6,74,166
1,20,119
24,67,172
5,49,26
27,76,297
23,1,156
62,30,95
62,77,31
62,25,14
57,20,6
26,23,136
20,56,99
25,21,106
17,23,91
55,8,25
42,47,36
37,55,2
77,44,64
77,20,222
77,18,51
27,4,30
23,38,41
23,26,200
25,35,90
14,43,46
29,14,51
28,74,160
31,53,9
2,71,24
66,44,29
45,73,31
38,46,82
49,30,14
73,22,6
71,31,17
77,36,54
75,66,10
4,66,18
70,76,93
57,5,4
20,27,39
25,45,7
15,44,9
17,41,17
51,1,4
69,53,47
40,62,27
49,34,56
68,23,13
73,67,20
27,75,51
23,40,11
57,22,36
57,70,29
3,50,26
31,36,65
43,70,48
40,4,13
58,41,77
27,34,17
26,56,44
29,36,6
54,6,2
52,4,3
42,2,24
49,54,18
23,35,49
25,52,2
43,53,33
49,40,37
49,7,38
37,58,3
68,27,19
58,37,11
65,4,8
4,62,13
10,27,11
52,13,6
31,51,16
2,44,21
53,7,1
5,75,22
58,43,2
23,44,9
39,65,20
50,67,5
36,75,8
40,60,18
34,50,14
66,72,14
64,4,11
64,26,2
62,35,30
41,54,19
72,6,11
43,16,20
40,53,8
71,77,13
67,26,5
17,67,2
11,39,14
48,22,3
27,62,8
19,41,10
62,49,2
19,44,3
59,69,14
4,72,5
25,38,42
29,17,7
77,51,15
12,71,3
23,47,4
62,1,8
53,72,5
53,48,14
52,70,1
53,60,1
74,68,1
52,38,2
64,10,2
10,74,1
55,50,5
39,17,16
52,3,5
47,3,3
22,47,3
16,73,8
44,26,5
58,46,6
20,59,6
45,58,2
73,48,21
64,74,8
51,58,3
11,53,1
71,59,5
51,25,1
47,55,1
61,54,4
74,24,2
15,52,3
40,14,5
55,67,1
65,71,8
49,57,2
12,70,3
52,68,4
68,15,4
48,27,3
16,72,8
10,73,2
50,22,1
40,47,2
71,23,9
37,15,2
64,53,1
26,68,6
11,74,1
48,13,3
21,73,2
57,49,2
73,59,1
26,5,9
77,54,5
26,44,2
65,18,1
53,1,1
61,52,3
55,1,3
53,64,1
49,11,1
74,46,3
25,47,1
75,25,2
36,15,2
73,5,2
36,47,2
74,15,1
53,74,4
14,54,1
49,17,1
25,74,2
,59,2
64,48,1
73,12,2
48,26,1
19,52,1
52,16,1
58,18,1
37,13,1
17,75,1
52,59,1
4,47,1
14,5,3919
6,32,548498
29,3,194
41,66,377
41,40,2868
41,60,783
41,5,440
3,43,357
3,12,1132
52,8,32
46,43,506
33,6,36826
8,41,112987
8,5,167135
8,38,9826
8,75,643
8,50,264
7,22,181220
28,33,246118
28,8,2572956
28,6,294234
28,31,44869
28,41,33022
28,34,31600
6,21,72039
28,14,10467
28,1,14891
28,73,692
28,50,196
31,30,1322
31,21,481
31,43,73
24,32,290547
72,69,28
22,5,31567
2,4,17694
66,34,107
66,28,330
66,35,44
63,35,18
63,15,20
30,32,893
56,6,89983
11,18,299
76,22,72991
76,72,1171
76,58,825
76,66,412
44,32,1183
44,42,331
69,44,905
69,71,340
35,41,2361
35,35,37335
35,45,104
35,59,169
33,3,8075
33,35,25648
33,22,9670
33,30,1067
33,48,254
32,8,7255537
32,24,637320
32,4,59662
32,35,61696
49,36,7
32,65,1529
32,20,2398
32,12,4986
7,77,47766
34,39,741
34,69,206
34,1,142
34,71,75
68,64,11
60,22,392
60,16,117
7,42,770
7,56,42649
7,23,7583
7,17,912
7,70,155
7,72,258
7,40,208
6,9,1660
6,35,3711
6,20,2973
61,66,106
77,5,14384
75,75,635
1,6,23438
1,24,4045
1,18,25
1,19,270
59,6,140
24,39,1696
24,63,456
5,21,11583
5,16,23843
5,12,621
4,14,17534
22,16,15622
22,13,1157
22,1,4873
22,29,776
27,32,1045
21,59,187
23,24,8650
16,11,2594
16,34,162
16,35,194
62,70,66
20,28,393
25,26,338
25,19,672
25,2,52
25,16,229
15,1,326
15,33,189
15,28,1319
15,26,29
19,7,332
19,3,214
56,16,3830
56,40,550
56,2,2925
10,19,146
10,22,370
17,32,159
29,22,314
41,72,125
41,63,269
3,9,148
46,1,18
2,25,254
66,61,96
64,6,51
76,63,380
76,45,165
51,48,144
51,69,45
51,73,9
43,40,307
43,71,379
43,74,4
39,24,947
36,68,44
40,33,319
44,61,48
40,44,133
40,69,178
40,10,5
68,69,238
60,3,182
60,63,130
73,71,94
71,46,33
71,72,8
1,60,76
59,41,56
59,27,19
24,65,276
22,64,98
22,69,59
70,6,22
21,35,125
21,25,470
16,26,209
13,10,270
62,34,23
57,30,150
65,32,149
26,24,88
25,77,79
56,12,584
9,20,4
,76,355
31,62,142
66,76,61
42,71,124
39,50,54
44,65,12
38,60,128
35,77,234
49,37,43
37,8,203
37,63,28
34,9,11
73,43,32
71,51,6
71,43,66
59,10,10
58,38,18
22,46,27
22,72,93
27,6,164
62,57,85
26,2,15
15,30,63
56,54,22
2,75,6
66,30,88
30,1,44
48,31,8
42,58,11
39,4,89
34,65,32
68,75,21
60,66,91
60,71,30
60,62,64
73,39,15
73,70,19
67,44,61
59,7,103
58,14,16
57,65,89
12,38,3
15,60,28
14,62,20
41,75,108
31,67,29
72,44,26
30,11,14
42,30,70
37,70,31
53,56,62
73,68,52
1,34,108
4,48,8
15,34,33
46,45,59
31,18,10
48,52,18
37,3,59
71,75,17
61,49,45
1,36,29
5,72,24
18,29,6
29,40,16
73,50,7
71,53,16
75,70,9
22,67,37
70,46,10
62,60,40
9,32,47
66,46,16
63,51,5
64,5,10
40,29,14
68,36,20
77,45,20
70,25,21
13,69,3
62,43,16
57,2,24
65,26,3
65,17,5
18,27,20
48,67,42
50,76,20
6,53,23
61,21,24
67,38,58
57,16,36
26,38,28
20,64,2
19,48,3
63,42,14
64,57,27
61,57,41
77,72,23
67,73,23
65,59,19
19,35,13
11,26,26
67,35,45
4,73,8
66,10,1
63,68,25
67,53,16
10,69,1
48,70,12
60,19,23
5,70,7
74,64,3
50,45,14
50,73,5
13,51,3
26,1,11
69,21,12
58,70,43
11,36,7
23,67,14
66,21,13
30,75,12
54,3,4
40,52,10
68,19,9
61,74,6
22,53,8
27,48,4
48,16,2
75,60,1
26,13,4
15,66,12
72,60,1
66,47,2
67,1,6
57,74,8
17,39,3
72,67,9
12,42,6
45,77,9
46,63,8
45,1,11
68,57,6
17,51,1
26,59,4
30,73,5
52,6,11
48,37,8
50,13,1
70,77,4
16,50,5
66,75,14
35,12,6
59,12,3
5,45,3
13,61,4
63,36,5
26,66,5
71,21,4
61,10,6
22,51,13
10,66,2
71,4,4
44,62,6
